sgx,sgy,sgz
-1882.6,501.715,-6086.52
-1757.11,501.715,-6086.52
-1631.62,501.715,-6086.52
-1506.13,501.715,-6086.52
-1380.64,501.715,-6086.52
-1255.15,501.715,-6086.52
-1129.66,501.715,-6086.52
-1004.17,501.715,-6086.52
-2008.09,627.205,-6086.52
-1882.6,627.205,-6086.52
-1757.11,627.205,-6086.52
-1631.62,627.205,-6086.52
-1506.13,627.205,-6086.52
-1380.64,627.205,-6086.52
-1255.15,627.205,-6086.52
-1129.66,627.205,-6086.52
-1004.17,627.205,-6086.52
-878.677,627.205,-6086.52
-2008.09,752.695,-6086.52
-1882.6,752.695,-6086.52
-1757.11,752.695,-6086.52
-1631.62,752.695,-6086.52
-1506.13,752.695,-6086.52
-1380.64,752.695,-6086.52
-1255.15,752.695,-6086.52
-1129.66,752.695,-6086.52
-1004.17,752.695,-6086.52
-878.677,752.695,-6086.52
-753.187,752.695,-6086.52
-2008.09,878.186,-6086.52
-1882.6,878.186,-6086.52
-1757.11,878.186,-6086.52
-1631.62,878.186,-6086.52
-1506.13,878.186,-6086.52
-1380.64,878.186,-6086.52
-1255.15,878.186,-6086.52
-1129.66,878.186,-6086.52
-1004.17,878.186,-6086.52
-878.677,878.186,-6086.52
-753.187,878.186,-6086.52
-2008.09,1003.68,-6086.52
-1882.6,1003.68,-6086.52
-1757.11,1003.68,-6086.52
-1631.62,1003.68,-6086.52
-1506.13,1003.68,-6086.52
-1380.64,1003.68,-6086.52
-1255.15,1003.68,-6086.52
-1129.66,1003.68,-6086.52
-1004.17,1003.68,-6086.52
-878.677,1003.68,-6086.52
-753.187,1003.68,-6086.52
-2008.09,1129.17,-6086.52
-1882.6,1129.17,-6086.52
-1757.11,1129.17,-6086.52
-1631.62,1129.17,-6086.52
-1506.13,1129.17,-6086.52
-1380.64,1129.17,-6086.52
-1255.15,1129.17,-6086.52
-1129.66,1129.17,-6086.52
-1004.17,1129.17,-6086.52
-878.677,1129.17,-6086.52
-753.187,1129.17,-6086.52
-2008.09,1254.66,-6086.52
-1882.6,1254.66,-6086.52
-1757.11,1254.66,-6086.52
-1631.62,1254.66,-6086.52
-1506.13,1254.66,-6086.52
-1380.64,1254.66,-6086.52
-1255.15,1254.66,-6086.52
-1129.66,1254.66,-6086.52
-1004.17,1254.66,-6086.52
-878.677,1254.66,-6086.52
-753.187,1254.66,-6086.52
-627.696,1254.66,-6086.52
-1882.6,1380.15,-6086.52
-1757.11,1380.15,-6086.52
-1631.62,1380.15,-6086.52
-1506.13,1380.15,-6086.52
-1380.64,1380.15,-6086.52
-1255.15,1380.15,-6086.52
-1129.66,1380.15,-6086.52
-1004.17,1380.15,-6086.52
-878.677,1380.15,-6086.52
-753.187,1380.15,-6086.52
-627.696,1380.15,-6086.52
-1757.11,1505.64,-6086.52
-1631.62,1505.64,-6086.52
-1506.13,1505.64,-6086.52
-1380.64,1505.64,-6086.52
-1255.15,1505.64,-6086.52
-1129.66,1505.64,-6086.52
-1004.17,1505.64,-6086.52
-878.677,1505.64,-6086.52
-753.187,1505.64,-6086.52
-627.696,1505.64,-6086.52
-1757.11,1631.13,-6086.52
-1631.62,1631.13,-6086.52
-1506.13,1631.13,-6086.52
-1380.64,1631.13,-6086.52
-1255.15,1631.13,-6086.52
-1129.66,1631.13,-6086.52
-1004.17,1631.13,-6086.52
-878.677,1631.13,-6086.52
-753.187,1631.13,-6086.52
-627.696,1631.13,-6086.52
-1631.62,1756.62,-6086.52
-1506.13,1756.62,-6086.52
-1380.64,1756.62,-6086.52
-1255.15,1756.62,-6086.52
-1129.66,1756.62,-6086.52
-1004.17,1756.62,-6086.52
-878.677,1756.62,-6086.52
-753.187,1756.62,-6086.52
-627.696,1756.62,-6086.52
-1506.13,1882.11,-6086.52
-1380.64,1882.11,-6086.52
-1255.15,1882.11,-6086.52
-1129.66,1882.11,-6086.52
-1004.17,1882.11,-6086.52
-878.677,1882.11,-6086.52
-753.187,1882.11,-6086.52
-1380.64,2007.6,-6086.52
-1255.15,2007.6,-6086.52
-1129.66,2007.6,-6086.52
-1004.17,2007.6,-6086.52
-878.677,2007.6,-6086.52
-753.187,2007.6,-6086.52
-1129.66,2133.09,-6086.52
-1004.17,2133.09,-6086.52
-1882.6,438.971,-6023.77
-1757.11,438.971,-6023.77
-1631.62,438.971,-6023.77
-1506.13,438.971,-6023.77
-1380.64,438.971,-6023.77
-1255.15,438.971,-6023.77
-1129.66,438.971,-6023.77
-1004.17,438.971,-6023.77
-2008.09,564.461,-6023.77
-878.677,564.461,-6023.77
-753.187,689.951,-6023.77
-627.696,1191.91,-6023.77
-2008.09,1317.4,-6023.77
-1882.6,1442.89,-6023.77
-1757.11,1693.87,-6023.77
-1631.62,1819.36,-6023.77
-627.696,1819.36,-6023.77
-1506.13,1944.85,-6023.77
-1380.64,2070.34,-6023.77
-1255.15,2070.34,-6023.77
-878.677,2070.34,-6023.77
-753.187,2070.34,-6023.77
-1129.66,2195.83,-6023.77
-1004.17,2195.83,-6023.77
-1945.34,501.715,-6023.77
-941.422,501.715,-6023.77
-2070.83,627.205,-6023.77
-815.932,627.205,-6023.77
-2070.83,752.695,-6023.77
-690.441,752.695,-6023.77
-2070.83,878.186,-6023.77
-690.441,878.186,-6023.77
-2070.83,1003.68,-6023.77
-690.441,1003.68,-6023.77
-2070.83,1129.17,-6023.77
-690.441,1129.17,-6023.77
-2070.83,1254.66,-6023.77
-564.951,1254.66,-6023.77
-1945.34,1380.15,-6023.77
-564.951,1380.15,-6023.77
-1819.85,1505.64,-6023.77
-564.951,1505.64,-6023.77
-1819.85,1631.13,-6023.77
-564.951,1631.13,-6023.77
-1694.36,1756.62,-6023.77
-564.951,1756.62,-6023.77
-1568.87,1882.11,-6023.77
-690.441,1882.11,-6023.77
-1443.38,2007.6,-6023.77
-690.441,2007.6,-6023.77
-1192.4,2133.09,-6023.77
-941.422,2133.09,-6023.77
-2384.56,-502.206,-5961.03
-2259.07,-502.206,-5961.03
-2133.58,-502.206,-5961.03
-2008.09,-502.206,-5961.03
-2510.05,-376.716,-5961.03
-2384.56,-376.716,-5961.03
-2259.07,-376.716,-5961.03
-2133.58,-376.716,-5961.03
-2008.09,-376.716,-5961.03
-1882.6,-376.716,-5961.03
-1757.11,-376.716,-5961.03
-1631.62,-376.716,-5961.03
-2635.54,-251.226,-5961.03
-2510.05,-251.226,-5961.03
-2384.56,-251.226,-5961.03
-2259.07,-251.226,-5961.03
-2133.58,-251.226,-5961.03
-2008.09,-251.226,-5961.03
-1882.6,-251.226,-5961.03
-1757.11,-251.226,-5961.03
-1631.62,-251.226,-5961.03
-1506.13,-251.226,-5961.03
-1380.64,-251.226,-5961.03
-2635.54,-125.735,-5961.03
-2510.05,-125.735,-5961.03
-2384.56,-125.735,-5961.03
-2259.07,-125.735,-5961.03
-2133.58,-125.735,-5961.03
-2008.09,-125.735,-5961.03
-1882.6,-125.735,-5961.03
-1757.11,-125.735,-5961.03
